credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,1.189,829.1,1.135.040.654,19.48,737,5.639.958.333,28854,52.1,0,0,0,0
1,credit_card,1.071,228.22,1.108.214.255,14.29,707,2760,33623,76.7,0,0,0,0
1,debt_consolidation,1.357,366.86,1.037.349.118,11.63,682,4710,3511,25.6,1,0,0,0
1,debt_consolidation,1.008,162.34,1.135.040.654,8.1,712,2.699.958.333,33667,73.2,1,0,0,0
1,credit_card,1.426,102.92,1.129.973.224,14.97,667,4066,4740,39.5,0,1,0,0
1,credit_card,788,125.13,1.190.496.755,16.98,727,6.120.041.667,50807,51,0,0,0,0
1,debt_consolidation,1.496,194.02,1.071.441.777,4,667,3.180.041.667,3839,76.8,0,0,1,1
1,all_other,1.114,131.22,1.100.209.984,11.08,722,5116,24220,68.6,0,0,0,1
1,home_improvement,1.134,87.19,1.140.756.495,17.25,682,3989,69909,51.1,1,0,0,0
1,debt_consolidation,1.221,84.12,1.020.359.214,10,707,2.730.041.667,5630,23,1,0,0,0
1,debt_consolidation,1.347,360.43,104.341.158,22.09,677,6.713.041.667,13846,71,2,0,1,0
1,debt_consolidation,1.324,253.58,1.183.500.896,9.16,662,4298,5122,18.2,2,1,0,0
1,debt_consolidation,859,316.11,1.093.310.697,15.49,767,6.519.958.333,6068,16.7,0,0,0,0
1,small_business,714,92.82,1.151.292.546,6.5,747,4384,3021,4.8,0,1,0,0
1,debt_consolidation,863,209.54,9.487.972.109,9.73,727,1.559.958.333,6282,44.6,0,0,0,0
1,major_purchase,1.103,327.53,1.073.891.524,13.04,702,8.159.958.333,5394,53.4,1,0,0,0
1,all_other,1.317,77.69,1.052.277.288,2.26,672,3.895.958.333,2211,88.4,0,0,0,0
1,credit_card,894,476.58,1.160.823.564,07.07,797,6.510.958.333,7586,52.7,1,0,0,0
1,debt_consolidation,1.039,584.12,1.049.127.422,3.8,712,2760,8311,59.8,0,0,0,0
1,major_purchase,1.513,173.65,1.100.209.984,2.74,667,1.126.958.333,591,84.4,3,0,0,0
1,all_other,0.08,188.02,1.122.524.339,16.08,772,4.888.958.333,29797,23.2,1,0,0,0
1,all_other,863,474.42,1.081.977.828,2.59,797,11951,5656,27.6,0,0,0,0
1,credit_card,1.355,339.6,1.151.292.546,7.94,662,1.939.958.333,21162,57.7,0,0,0,0
1,credit_card,788,484.85,1.173.606.902,07.05,782,5.640.041.667,16931,34.6,1,0,0,0
1,debt_consolidation,1.229,320.19,1.126.446.411,8.8,672,3.760.958.333,4822,58.1,0,0,1,0
1,all_other,901,159.03,124.292.162,10,712,1.553.958.333,14354,36.6,0,2,0,0
1,all_other,743,155.38,1.108.214.255,0.28,802,4.649.958.333,1576,5.7,1,0,0,0
1,debt_consolidation,1.375,255.43,9.998.797.732,14.29,662,1.318.958.333,4175,51.5,0,1,0,0
1,all_other,743,155.38,1.220.607.265,0.28,772,4.516.958.333,3164,13.7,0,0,0,0
1,all_other,743,155.38,1.220.607.265,3.72,812,6.778.958.333,85607,0.7,0,0,0,0
1,debt_consolidation,807,156.84,1.151.292.546,2.3,742,3.148.958.333,9698,19.4,0,0,0,0
1,credit_card,1.028,275.38,9.798.127.037,6.4,692,7.469.958.333,8847,26.9,1,1,0,0
1,home_improvement,743,155.38,1.191.839.057,0,777,7.128.958.333,6053,19.5,0,0,0,0
1,home_improvement,807,78.42,1.160.823.564,11.33,762,6.059.958.333,7274,13.1,0,0,0,0
1,credit_card,87,158.3,1.122.524.339,15.55,757,4770,66033,23,0,0,0,0
1,all_other,743,155.38,1.146.163.217,3.83,772,2535,3660,6.8,0,0,0,0
1,credit_card,743,155.38,1.135.040.654,0.31,787,3540,216,0.6,0,0,0,0
1,credit_card,1.122,164.23,1.128.978.191,1.21,672,3990,27185,16.1,3,0,1,0
1,debt_consolidation,996,161.25,1.077.895.629,08.03,707,4320,28329,48.6,1,0,0,0
1,home_improvement,933,159.77,1.210.071.213,11.93,717,4.498.958.333,60568,39.2,1,0,0,0
1,home_improvement,807,156.84,1.210.071.213,5.55,742,4019,40934,26.3,0,0,0,0
1,debt_consolidation,743,155.38,1.169.524.702,2.29,777,3540,8379,16.9,0,0,0,0
1,small_business,87,94.98,101.266.311,14.54,752,2460,3660,7.8,1,0,0,0
1,home_improvement,1.028,97.2,1.220.607.265,0,677,3.779.958.333,0,0,0,1,0,0
1,credit_card,1.122,164.23,1.030.895.266,18.64,702,5190,15840,47.1,0,0,0,0
1,credit_card,838,167.02,1.121.182.037,14.37,797,5.610.958.333,6844,14.4,0,0,0,0
1,educational,775,168.6,8.987.196.821,3,762,6.659.958.333,1321,16.5,0,0,0,0
1,all_other,838,160.72,1.037.349.118,14.78,772,4379,4737,23.9,0,0,0,0
1,credit_card,901,159.03,1.119.821.472,9.96,722,3.089.958.333,23489,37.6,0,0,0,0
1,debt_consolidation,743,178.69,1.173.606.902,0.27,792,7.488.958.333,2817,10.2,0,0,0,0
1,credit_card,743,155.38,1.071.441.777,1.12,782,5807,1783,0,1,0,0,0
1,small_business,1.028,323.98,10.217.422,10.7,712,1379,3534,54.4,0,0,0,0
1,small_business,1.059,813.65,1.077.895.629,04.05,762,2.729.958.333,2422,23.3,0,0,0,0
1,educational,996,112.87,9.510.444.964,16.44,712,1.649.958.333,2864,41.1,1,0,0,0
1,debt_consolidation,1.596,94.88,1.086.283.777,12.57,627,1409,3075,92.3,1,0,0,0
1,small_business,1.059,398.69,1.100.209.984,17.12,747,1.400.895.833,17214,8.1,2,1,0,0
1,credit_card,1.154,39.6,9.903.487.553,02.04,662,1139,1153,75.8,2,0,0,0
1,credit_card,1.343,678.08,1.188.448.902,10.15,682,4.209.958.333,41674,74.1,0,0,0,1
1,credit_card,1.249,401.37,1.122.524.339,15,682,4479,43039,93.4,3,0,0,0
1,all_other,964,205.45,1.100.209.984,7.72,712,2.293.958.333,3362,69.3,0,0,0,0
1,debt_consolidation,1.186,397.75,1.108.214.255,7.14,682,8730,11868,71.9,0,2,0,0
1,all_other,743,155.38,1.059.663.473,2.55,772,8.189.958.333,2562,14,2,0,0,0
1,all_other,1.028,113.39,9.903.487.553,1.5,682,1410,1882,32.4,0,0,0,0
